name,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xOnGoal,I_F_xGoals,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,I_F_takeaways,I_F_giveaways
Cole Koepke,0.38466666666666666,0.356,0.35333333333333333,13.872000000000002,1.5253333333333334,11.8,5.2,25.866666666666667,1.6,3.7333333333333334
Cole McWard,0.29500000000000004,0.391,0.33999999999999997,1.45,0.05,1.4,1.6,1.0,0.0,0.8
Cole Perfetti,0.5429999999999999,0.5469999999999999,0.552,38.808,4.572,37.1,14.05,13.7,5.9,7.7
Cole Reinhardt,0.11200000000000002,0.176,0.174,2.632,0.286,2.8,1.0,7.8,0.2,1.6
Cole Schneider,0.33599999999999997,0.309,0.33599999999999997,1.8559999999999999,0.126,2.2,0.4,1.2,0.0,0.0
Cole Schwindt,0.2966666666666667,0.2773333333333333,0.27066666666666667,5.633333333333334,0.6306666666666666,4.666666666666667,2.533333333333333,6.4,0.9333333333333333,3.066666666666667
Cole Sillinger,0.4765,0.4875,0.489,51.864,5.679,51.05,19.55,38.4,8.9,10.6
Cole Smith,0.2956,0.2584,0.2636,19.4048,2.7176,18.88,8.08,46.24,6.72,6.08
Colin Blackwell,0.434,0.46457142857142864,0.4308571428571429,21.499142857142857,2.216,21.37142857142857,9.82857142857143,20.457142857142856,5.3428571428571425,5.771428571428571
Colin Fraser,0.4451428571428571,0.41971428571428576,0.43514285714285716,16.691428571428574,1.6057142857142856,17.82857142857143,5.771428571428571,27.314285714285713,4.428571428571429,3.142857142857143
Colin Greening,0.49433333333333335,0.489,0.479,34.65833333333333,3.625,35.0,10.8,51.1,7.133333333333334,5.933333333333334
Colin McDonald,0.4062857142857143,0.3848571428571429,0.378,12.706,1.1640000000000001,12.857142857142858,3.8285714285714287,25.314285714285713,1.4857142857142858,1.8857142857142857
Colin Miller,0.498,0.5116,0.503,35.2774,1.3774000000000002,34.5,31.44,36.64,6.46,13.0
Colin Smith,0.076,0.176,0.2,0.324,0.008,0.4,0.0,0.4,0.0,0.4
Colin Stuart,0.22933333333333333,0.26066666666666666,0.24466666666666667,7.477333333333333,0.5986666666666667,8.133333333333333,2.8666666666666667,8.666666666666666,2.933333333333333,0.5333333333333333
Colin White,0.42723076923076925,0.4570769230769231,0.45199999999999996,19.547692307692305,1.755076923076923,19.153846153846153,9.138461538461538,21.338461538461537,4.8307692307692305,8.36923076923077
Colin Wilson,0.5007272727272727,0.5041818181818182,0.5101818181818182,35.77290909090909,4.138727272727273,35.8,12.345454545454546,15.418181818181818,7.7272727272727275,8.654545454545454
Collin Graf,0.33399999999999996,0.483,0.346,7.003,0.7,6.8,1.6,4.2,2.4,1.8
Colten Teubert,0.184,0.242,0.20800000000000002,4.912,0.236,5.2,6.0,27.2,0.4,3.6
Colton Dach,0.40599999999999997,0.434,0.45,10.672,1.478,10.0,3.2,33.6,5.2,4.8
Colton Gillies,0.509,0.4885,0.48600000000000004,9.558499999999999,0.86,9.0,4.6,29.3,4.1,2.8
Colton Orr,0.23971428571428574,0.26571428571428574,0.24257142857142858,7.962000000000001,0.7965714285714286,7.257142857142857,2.1714285714285713,28.571428571428573,1.4857142857142858,1.7714285714285714
Colton Parayko,0.493,0.47119999999999995,0.47859999999999997,56.8232,2.4972,59.74,33.84,37.64,16.48,17.84
Colton Sceviour,0.3810909090909091,0.3694545454545455,0.3694545454545455,32.51145454545455,3.071272727272727,33.85454545454545,10.236363636363636,23.163636363636364,7.0181818181818185,6.8545454545454545
Colton Sissons,0.4556363636363636,0.4314545454545455,0.4401818181818182,30.831636363636363,3.972909090909091,28.945454545454545,9.709090909090909,41.18181818181818,7.927272727272728,8.0
Colton White,0.2828,0.2988,0.31079999999999997,4.476,0.2152,4.32,2.96,5.2,0.8,2.32
Connor Bedard,0.442,0.583,0.4699999999999999,77.193,7.328,72.5,39.6,18.0,13.4,25.3
Connor Brickley,0.2906666666666667,0.28933333333333333,0.2986666666666667,11.609333333333334,1.1813333333333333,12.333333333333334,2.6666666666666665,21.733333333333334,2.2666666666666666,3.3333333333333335
Connor Brown,0.4828,0.499,0.4888,40.001799999999996,4.5018,38.78,14.06,9.56,13.98,10.2
Connor Bunnaman,0.31,0.302,0.27666666666666667,5.520666666666667,0.47733333333333333,5.6,1.3333333333333333,10.2,0.6666666666666666,0.8
Connor Carrick,0.479,0.4805,0.48200000000000004,13.77025,0.682,13.35,11.55,11.9,2.85,6.95
Connor Clifton,0.39514285714285713,0.376,0.37657142857142856,22.616857142857143,1.0305714285714285,22.057142857142857,15.114285714285714,55.34285714285714,6.771428571428571,9.942857142857143
Connor Dewar,0.4605,0.41950000000000004,0.41850000000000004,25.327,2.7329999999999997,24.3,12.35,38.3,5.3,4.3
Connor James,0.296,0.194,0.26799999999999996,0.292,0.004,0.0,0.0,0.0,0.0,0.0
Connor Jones,0.404,0.40800000000000003,0.392,0.8480000000000001,0.27599999999999997,0.8,2.4,5.2,0.8,0.4
Connor Mackey,0.33039999999999997,0.35359999999999997,0.3464,3.5564,0.16,3.28,1.92,6.24,0.48,2.16
Connor McDavid,0.5956,0.585,0.5848,93.264,12.160599999999999,95.22,30.66,21.12,26.22,25.66
Connor McMichael,0.43,0.38880000000000003,0.39120000000000005,33.146,4.4292,31.48,10.72,10.24,5.64,7.16
Connor Murphy,0.4278333333333333,0.39649999999999996,0.39616666666666667,28.896666666666665,1.0948333333333333,31.25,24.6,51.333333333333336,6.133333333333334,13.916666666666666
Connor Zary,0.475,0.524,0.514,39.184000000000005,4.679,37.2,19.6,10.6,4.8,12.6
Conor Allen,0.277,0.377,0.24,0.6439999999999999,0.022000000000000002,0.8,1.2,1.4,0.0,0.6
Conor Garland,0.514,0.5545714285714286,0.5468571428571428,64.18628571428572,6.231142857142857,64.17142857142858,22.085714285714285,15.8,14.371428571428572,10.942857142857143
Conor Geekie,0.41600000000000004,0.492,0.472,23.949999999999996,2.606,21.6,13.4,34.4,2.8,11.2
Conor Sheary,0.48719999999999997,0.47980000000000006,0.4764,40.3146,4.582,40.78,13.0,11.08,10.16,7.18
Conor Timmins,0.47833333333333333,0.4953333333333333,0.4983333333333333,9.578333333333335,0.383,9.0,9.266666666666667,8.6,2.433333333333333,5.766666666666667
Cooper Marody,0.29,0.23500000000000001,0.24500000000000002,1.668,0.15,1.4,0.4,0.0,1.2,0.0
Corban Knight,0.21400000000000002,0.28900000000000003,0.2495,3.072,0.288,3.2,0.8,4.0,1.3,0.3
Corey Elkins,0.364,0.35,0.364,1.376,0.12,2.0,0.4,0.8,0.4,0.0
Corey Locke,0.16,0.172,0.162,1.654,0.172,1.6,0.6,0.2,0.2,0.2
Corey Perry,0.5305882352941177,0.5398823529411765,0.5379999999999999,70.788,9.027411764705883,69.24705882352941,21.976470588235294,25.894117647058824,10.058823529411764,14.494117647058824
Corey Potter,0.3265,0.39449999999999996,0.34075,7.577249999999999,0.3095,7.975,5.65,8.65,2.325,3.6
Corey Schueneman,0.366,0.37466666666666665,0.38533333333333336,5.886666666666667,0.23600000000000002,5.6,2.933333333333333,2.6,1.0666666666666667,2.4
Corey Tropp,0.3375,0.41150000000000003,0.35150000000000003,8.706,1.059,8.9,3.3,24.1,2.7,2.1
Cory Conacher,0.4402857142857143,0.45742857142857146,0.4640000000000001,14.197142857142856,1.562857142857143,14.657142857142857,4.857142857142857,8.285714285714286,3.2,2.942857142857143
Cory Emmerton,0.308,0.33399999999999996,0.3375,13.538499999999999,1.073,14.3,3.8,7.2,2.95,1.0
Cory Murphy,0.562,0.531,0.5599999999999999,11.913,0.952,12.6,12.2,3.2,2.4,3.8
Cory Sarich,0.443,0.4053333333333333,0.4093333333333333,19.216,0.7346666666666667,18.233333333333334,16.2,47.46666666666667,4.166666666666667,13.133333333333333
Cory Stillman,0.48800000000000004,0.5399999999999999,0.526,50.76133333333333,5.148666666666667,47.53333333333333,20.533333333333335,26.2,11.733333333333333,10.8
Craig Adams,0.39599999999999996,0.3514285714285714,0.3742857142857143,25.441142857142857,2.2,26.514285714285716,8.457142857142857,61.285714285714285,5.257142857142857,3.8285714285714287
Craig Conroy,0.3813333333333333,0.43066666666666664,0.4233333333333334,20.528666666666666,2.25,22.133333333333333,8.4,14.133333333333333,11.866666666666667,11.066666666666666
Craig Cunningham,0.364,0.39066666666666666,0.37533333333333335,8.471333333333332,0.7040000000000001,9.466666666666667,1.6,16.4,1.3333333333333333,0.4
Craig MacDonald,0.542,0.5599999999999999,0.5359999999999999,2.004,0.12,2.4,0.8,2.8,0.4,0.0
