name,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xOnGoal,I_F_xGoals,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,I_F_takeaways,I_F_giveaways
Ruslan Fedotenko,0.504,0.472,0.48600000000000004,91.218,8.68,91.6,37.4,92.8,17.0,8.8
Ruslan Iskhakov,0.45,0.3,0.32,1.58,0.26,2.0,1.0,0.0,0.0,1.0
Ruslan Salei,0.5233333333333333,0.49,0.5033333333333333,51.60666666666666,2.2866666666666666,48.333333333333336,34.666666666666664,64.66666666666667,9.333333333333334,22.0
Rutger McGroarty,0.49,0.52,0.48,1.46,0.04,2.0,1.0,4.0,1.0,0.0
Ryan Bayda,0.49,0.48,0.49,65.14,5.43,58.0,17.0,79.0,12.0,1.0
Ryan Bourque,0.36,0.75,0.6,1.56,0.05,1.0,0.0,0.0,1.0,0.0
Ryan Callahan,0.5054545454545455,0.5009090909090909,0.5081818181818182,116.62363636363638,10.712727272727273,118.9090909090909,42.36363636363637,166.36363636363637,25.181818181818183,11.909090909090908
Ryan Carpenter,0.4766666666666667,0.49444444444444446,0.4833333333333333,48.17777777777778,4.912222222222223,47.888888888888886,13.11111111111111,66.33333333333333,10.88888888888889,10.0
Ryan Carter,0.47375,0.47750000000000004,0.4825,50.7525,4.7325,49.875,14.75,79.875,10.25,6.25
Ryan Craig,0.48600000000000004,0.40800000000000003,0.40199999999999997,12.854,1.24,15.6,2.4,15.0,0.4,0.6
Ryan Donato,0.49125,0.4925,0.48875,98.75875,9.2525,97.25,37.625,56.375,25.625,16.0
Ryan Dzingel,0.4628571428571429,0.47000000000000003,0.4628571428571428,69.31571428571428,7.805714285714286,70.14285714285714,29.0,46.714285714285715,14.857142857142858,16.714285714285715
Ryan Ellis,0.5227272727272727,0.5227272727272727,0.5218181818181818,61.71181818181819,2.5172727272727276,65.81818181818181,43.09090909090909,35.63636363636363,14.545454545454545,22.545454545454547
Ryan Garbutt,0.5033333333333333,0.5133333333333333,0.515,87.64166666666667,6.330000000000001,83.16666666666667,31.833333333333332,83.5,12.166666666666666,10.666666666666666
Ryan Getzlaf,0.5214285714285715,0.5142857142857143,0.515,99.59357142857142,7.897142857142858,96.28571428571429,39.357142857142854,109.5,35.857142857142854,49.92857142857143
Ryan Graves,0.51,0.5157142857142857,0.5171428571428571,80.66714285714285,3.1957142857142857,83.71428571428571,70.85714285714286,68.14285714285714,15.428571428571429,31.714285714285715
Ryan Hamilton,0.36,0.43,0.4025,5.205,0.67,4.5,1.5,13.25,1.0,1.25
